Participant number,1.1 Fictional story or scene,"1.2 Abstract shapes, colors or patterns","1.3 Smells, tastes or other sensory sensations",1.4 Experiences from my life,"1.5 Memories from media such as films, TV, or video games",1.6 Thoughts about the music,1.7 Thoughts about the future or personal plans,1.8 Thoughts about the building or space,1.9 Everyday stuff,Select the movement during which you imagined the most vivid memory.,Please describe the memory in as much detail as possible.,To what degree do you think these memories were prompted by the music you just heard?,To what degree did these memories come to mind spontaneously (without special effort)?,Would you say that the memories you experienced were individual to you?,Select the movement during which you imagined the most vivid fictional story or scene.,Please describe the story or scene in as much detail as possible.,To what degree do you think these imaginings were prompted by the music you just heard?,To what degree did these imaginings come to mind spontaneously (without special effort)?,Would you say that the imaginings you experienced were individual to you?,"If you would like to add any further information, such as another movement that elicited a strong response, please do so here.",Please enter your age,Please select your gender,Please indicate how frequently you listen to classical music,For how many years hae you engaged in regular daily practice of a musical instrument (including voice)?,"Please indicate the part of the auditorium in which you are seated, using the map below for reference."
1,3,1,1,2,2,4,,1,2,B1,Children playing on the shore of a river. Small children laughing and playing. ,4,4,3,B3,Soldiers marching. Also a youthful Beethoven,3,4,4,Soldiers were frightening,80,Male,3,4,E
2,2,2,1,4,1,3,4,3,2,H4,Don't remember movement in particular. Was thinking of interaction with a co-worker. It was a stressful interaction about the nature of our project/work.,3,3,4,B2,Imagined seeing a large field out in nature of water flowing -- focusing on individual droplets of water,3,2,3,,28,Male,3,5,G
3,,4,4,,,5,,,,B1;H6,B1: As if I was part of a Monet painting. I was a little girl in a long white drass and a ribbon smelling the flowers. H6: I was a ballerina doing point.,4,4,4,,"Not a story, just me being present in the moment and moving to the music.",4,4,4,,52,Female,3,,H
4,2,2,2,,,2,,,,B3; H4; H5,B: Images of dancers -- during several movements of the Beethoven as well as bright colours clashing. H: During the Hough -- one of the movements brought thoughts of bees buzzing and/or flies making a drone-like sound,3,3,2,B2;B3;H4;H5,B: Beethoven -- people dancing to the music,3,3,2,,78,Female,3,,G
5,1,1,1,1,1,5,1,1,3,B1,Remembering when I played the piece myself,5,1,5,H3,DrunKen Pizzaiolo,5,5,5,,31,Male,5,24,I
6,2,3,2,4,2,,3,2,3,B1,I had images of free growing things like vines over tranquil pools. The scene was both peaceful and full of life. There seemed both prompted by memories of willow and also entirely newly created within my mind.,4,3,3,B4,"I had visions of traffic, panicky between the bustle of vehicles and people and the more quiet byways along the sides",3,3,3,"Initially, I found that I most experienced colors,  forming across my violins in gentle, hailed streams. Of course, mundane thoughts invaded, but later I had more concrete images as well",38,female,4,,k
7,2,4,2,4,3,5,5,4,2,H6,"Reminded me of the wind storm night this week, and trying to sleep through it and the dog keeping me up all night",5,5,5,B2;B3;H4;H5,"A drifting, wandering mindset- upbeat and flowing-- like a walk through a beautiful area on a relaxing weekend. ",5,5,5,,58,Female,3,5.00,K
8,3,1,1,4,2,2,3,1,2,B3; H2,"No long memory, but a lot of memories about highsehod things (1981-05)",3,5,4,,I had no fictional memories,1,1,1,,57,Male,1,,K
9,2,1,1,3,2,3,2,1,3,H6,Visiting grocery markets in Paris with my late grandmother. Some of the music made me think of vendors shouting out their wares. ,2,3,3,B2,"Contemplation of sad things- the current state of the world, especialy war, death and grief",3,4,2,,34,Female,5,15,K
10,,,,3,,4,,,,B1,"The sprightly manner in which the Takacs played the first movement brought to mind a specific memory. My wife and I were walking on a hillside in the Adivondad region of NY State when we came upon a swarm of dragon flies flying around each other in a sunny spot. There were dozens of them, never leaving that sunny spot for as long as we gazed at them. All the same species. They seemed to be enjoying each other. ",5,5,4,B2,"The death scene from Romeo and Juliette, which I have heard Beethoven had in mind when he wrote this movement. The music perfectly fits this scene, so it is not difficult to imagine it during this movement. ",4,5,2,"The last movement of the Hough had a very striking musical depiction of laughter, among the best I have heard from any composer. ",73,Male,5,68,I
