"Participant_number","Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Age","Gender","Music_listening","Practice","Location","ID"
1,"A moderate amount of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","Most of the time",NA,"Not at all","A small amount of the time","B1","Children playing on the shore of a river. Small children laughing and playing.","Mostly","Mostly","Moderately","B3","Soldiers marching. Also a youthful Beethoven","Moderately","Mostly","Mostly","Soldiers were frightening","80","Male","Moderately frequently",4,"E",NA
2,"A small amount of the time","A small amount of the time","Not at all","Most of the time","Not at all","A moderate amount of the time","Most of the time","A moderate amount of the time","A small amount of the time","H4","Don't remember movement in particular. Was thinking of interaction with a co-worker. It was a stressful interaction about the nature of our project/work.","Moderately","Moderately","Mostly","B2","Imagined seeing a large field out in nature of water flowing -- focusing on individual droplets of water","Moderately","Slightly","Moderately",NA,"28","Male","Moderately frequently",5,"G",NA
3,NA,"Most of the time","Most of the time",NA,NA,"All of the time",NA,NA,NA,"B1;H6","B1: As if I was part of a Monet painting. I was a little girl in a long white drass and a ribbon smelling the flowers. H6: I was a ballerina doing point.","Mostly","Mostly","Mostly",NA,"Not a story, just me being present in the moment and moving to the music.","Mostly","Mostly","Mostly",NA,"52","Female","Moderately frequently",NA,"H",NA
4,"A small amount of the time","A small amount of the time","A small amount of the time",NA,NA,"A small amount of the time",NA,NA,NA,"B3; H4; H5","B: Images of dancers -- during several movements of the Beethoven as well as bright colours clashing. H: During the Hough -- one of the movements brought thoughts of bees buzzing and/or flies making a drone-like sound","Moderately","Moderately","Slightly","B2;B3;H4;H5","B: Beethoven -- people dancing to the music","Moderately","Moderately","Slightly",NA,"78","Female","Moderately frequently",NA,"G",NA
5,"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","A moderate amount of the time","B1","Remembering when I played the piece myself","Entirely","Not at all","Entirely","H3","DrunKen Pizzaiolo","Entirely","Entirely","Entirely",NA,"31","Male","Very frequently",24,"I",NA
6,"A small amount of the time","A moderate amount of the time","A small amount of the time","Most of the time","A small amount of the time",NA,"A moderate amount of the time","A small amount of the time","A moderate amount of the time","B1","I had images of free growing things like vines over tranquil pools. The scene was both peaceful and full of life. There seemed both prompted by memories of willow and also entirely newly created within my mind.","Mostly","Moderately","Moderately","B4","I had visions of traffic, panicky between the bustle of vehicles and people and the more quiet byways along the sides","Moderately","Moderately","Moderately","Initially, I found that I most experienced colors,  forming across my violins in gentle, hailed streams. Of course, mundane thoughts invaded, but later I had more concrete images as well","38","female","Frequently",NA,"k",NA
7,"A small amount of the time","Most of the time","A small amount of the time","Most of the time","A moderate amount of the time","All of the time","All of the time","Most of the time","A small amount of the time","H6","Reminded me of the wind storm night this week, and trying to sleep through it and the dog keeping me up all night","Entirely","Entirely","Entirely","B2;B3;H4;H5","A drifting, wandering mindset- upbeat and flowing-- like a walk through a beautiful area on a relaxing weekend.","Entirely","Entirely","Entirely",NA,"58","Female","Moderately frequently",5,"K",NA
8,"A moderate amount of the time","Not at all","Not at all","Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","Not at all","A small amount of the time","B3; H2","No long memory, but a lot of memories about highsehod things (1981-05)","Moderately","Entirely","Mostly",NA,"I had no fictional memories","Not at all","Not at all","Not at all",NA,"57","Male","Very rarely",NA,"K",NA
9,"A small amount of the time","Not at all","Not at all","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","H6","Visiting grocery markets in Paris with my late grandmother. Some of the music made me think of vendors shouting out their wares.","Slightly","Moderately","Moderately","B2","Contemplation of sad things- the current state of the world, especialy war, death and grief","Moderately","Mostly","Slightly",NA,"34","Female","Very frequently",15,"K",NA
10,NA,NA,NA,"A moderate amount of the time",NA,"Most of the time",NA,NA,NA,"B1","The sprightly manner in which the Takacs played the first movement brought to mind a specific memory. My wife and I were walking on a hillside in the Adivondad region of NY State when we came upon a swarm of dragon flies flying around each other in a sunny spot. There were dozens of them, never leaving that sunny spot for as long as we gazed at them. All the same species. They seemed to be enjoying each other.","Entirely","Entirely","Mostly","B2","The death scene from Romeo and Juliette, which I have heard Beethoven had in mind when he wrote this movement. The music perfectly fits this scene, so it is not difficult to imagine it during this movement.","Mostly","Entirely","Slightly","The last movement of the Hough had a very striking musical depiction of laughter, among the best I have heard from any composer.","73","Male","Very frequently",68,"I",NA
