"Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Feedback","join_key","Age","Gender","Music_listening","Practice","Location"
"Not at all","Not at all","Not at all","A small amount of the time","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Br1","A Royal Court","Mostly","Mostly","Slightly","Br1","As above -- mostly static images","Mostly","Moderately","Moderately",NA,"1st half -- more interference in the music. Brahms more complex -- demanded my full attention","1","80","Male","Moderately frequently",4,"E"
"A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","Not at all","Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","Br3","No particularly strong memories. Some work related stress :( Similarly thought about stressful interactions at work with coworkers","Moderately","Mostly","Moderately","Br3","Very intense storm over a desert (either movement 2 or 3). Turbulent clouds. Rain.","Entirely","Mostly","Moderately","The lst movement (last ~1.5 minutes) were so powerful!",NA,"2","28","Male","Moderately frequently",5,"G"
"A moderate amount of the time",NA,"A moderate amount of the time",NA,NA,"Most of the time",NA,NA,NA,"Br1","Reminded me of the tune from Dr. Zhivago. Could remember the soup on a cold day.","Mostly","Mostly","Mostly","Br1","Dr. Zhivago","Mostly","Mostly","Mostly",NA,"Nice! Glad to be a part of your research. Would be interested in your findings. Maybe present them at a different PUC!","3","52","Female","Moderately frequently",NA,"H"
"A small amount of the time",NA,"A small amount of the time",NA,NA,"A small amount of the time","Not at all","Not at all","Not at all","Br1;Br4","At times I was too distracted by the hands of the pianist and the intense emotions of the viola player. Br1: The first movement made me think of the ocean sea and its many moods from quietly lapping to a raging storm.","Moderately","Slightly","Slightly","Br1;Br4",NA,"Moderately","Slightly","Slightly",NA,NA,"4","78","Female","Moderately frequently",NA,"G"
"Not at all","Not at all","Not at all","All of the time","Not at all","All of the time","All of the time","Not at all","A moderate amount of the time","Br1","I remembered times when I played the piece myself","Entirely","Entirely","Entirely","Br1","No fictional story","Not at all","Not at all","Not at all",NA,NA,"5","31","Male","Very frequently",24,"I"
"A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br2",NA,NA,NA,NA,"Br2","I imagined sheep as the music started, and their wooly bodies were quite vivid and lifelike","Moderately","Entirely","Moderately",NA,"I found it interesting to categorize my inner musings as memories, plans for the future, fictitious musings and everyday stuff. Often, these become intertwined as the memories morph into new concepts and ideas for the future","6","38","female","Frequently",NA,"k"
"Most of the time","A small amount of the time","A small amount of the time","Most of the time","A small amount of the time","All of the time","Most of the time","Most of the time","All of the time","Br2","My relaxing wonderful lunch with my daughter on Sunday. Afterwards- out talking to the aary","Mostly","Entirely","Entirely","Br4","Definitely a frantic search for something important","Entirely","Entirely","Entirely",NA,NA,"7","58","Female","Moderately frequently",5,"K"
"Most of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","A moderate amount of the time","Not at all","Not at all","Not at all","Br3","to con donn to detail, all over the board","Slightly","Mostly","Mostly","Br4","a lot of fictitious images about my prior job in law enforcement","Mostly","Mostly","Entirely","No",NA,"8","57","Male","Very rarely",NA,"K"
"Not at all","A small amount of the time","Not at all","A moderate amount of the time","Not at all","A moderate amount of the time","A small amount of the time","Not at all","A small amount of the time","Br3","The scherzo has been one of my favorite pieces since I was a teenager and I listen to it often. The last time I saw it performed was by faculty at a summer music camp I attended when I was 16. I kept thinking about the summer camp even though those memories in general don't 'match' the music.","Entirely","Mostly","Mostly",NA,"No ficional thoughts that I remember",NA,NA,NA,NA,NA,"9","34","Female","Very frequently",15,"K"
"A moderate amount of the time",NA,NA,"A small amount of the time",NA,"A small amount of the time",NA,NA,NA,"Br3",NA,NA,NA,NA,"Br3","The opening of the Scherzo brought to mind a scene of people fleeing by night through a wav-torn landscape. But the major section following brought to mind people marching proudly by dat. The alternation of there themes grew to suggest an entire population, a national struggle of some kind. The finale continued their feeling.","Mostly","Entirely","Moderately",NA,NA,"10","73","Male","Very frequently",68,"I"
"Most of the time","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Most of the time","A small amount of the time","A small amount of the time","A small amount of the time","Br3","Thought about my own experiences performing in concert band. Very easy to sway along/ move to the tempo of the beat. Brahms holds a place in my mind -- I remember playing autumn-inspired piece (don't remember it's name unfortunately) in high school. Brahms ... holds a very melodramatic space in my head.","Mostly","Mostly","Mostly","Br2","A story of the future --a nurse gets called to a mission in space (have no clue why, I just like the visual). She's blasted into space, there's visual spectacle of all the shapes and stars and galaxies","Mostly","Mostly","Mostly",NA,"As someone who treasures creativity, I enjoy this exercise, as it allows for a spontaneous burst of thought. Classical music is always going to be an exercise of emotion (amongst other, more rigorous things). I think this was a good way to consciously engage yourself in the concert -- encourage more of a commitment to insert yourself into the music.","11","25","Male","Very frequently",8,"K"
"A moderate amount of the time","Not at all","A small amount of the time","Not at all","Not at all","All of the time","Not at all","Not at all","Not at all",NA,NA,NA,NA,NA,"Br2; Br3","Br2: Romantic conversation in flower/plant conversations/ Riverside; Br3: a card game disagreement!","Entirely","Entirely","Mostly","3rd and 4th had horse racing/galloping moments",NA,"12","71","Female","Very frequently",60,"J"
"A small amount of the time","Not at all","Not at all","Most of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","Br2","memories of social events, memorable places","Mostly","Mostly","Slightly","Br2",NA,"Mostly","Mostly","Slightly",NA,NA,"13",NA,"Male","Very frequently",NA,"J"
