"Participant_number","Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Age","Gender","Music_listening","Practice","Location","Floor","ID","Age_group"
1,"A moderate amount of the time","Not at all","Not at all","A small amount of the time","A small amount of the time","Most of the time",NA,"Not at all","A small amount of the time","B1","Children playing on the shore of a river. Small children laughing and playing.","Mostly","Mostly","Moderately","B3","Soldiers marching. Also a youthful Beethoven","Moderately","Mostly","Mostly","Soldiers were frightening",80,"Male","Moderately frequently",4,"E","Downstairs",NA,"[76,81)"
2,"A small amount of the time","A small amount of the time","Not at all","Most of the time","Not at all","A moderate amount of the time","Most of the time","A moderate amount of the time","A small amount of the time","H4","Don't remember movement in particular. Was thinking of interaction with a co-worker. It was a stressful interaction about the nature of our project/work.","Moderately","Moderately","Mostly","B2","Imagined seeing a large field out in nature of water flowing -- focusing on individual droplets of water","Moderately","Slightly","Moderately",NA,28,"Male","Moderately frequently",NA,"G","Upstairs",NA,"[26,31)"
5,"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","A moderate amount of the time","B1","Remembering when I played the piece myself","Entirely","Not at all","Entirely","H3","DrunKen Pizzaiolo","Entirely","Entirely","Entirely",NA,31,"Male","Very frequently",24,"I","Upstairs",NA,"[31,36)"
7,"A small amount of the time","Most of the time","A small amount of the time","Most of the time","A moderate amount of the time","All of the time","All of the time","Most of the time","A small amount of the time","H6","Reminded me of the wind storm night this week, and trying to sleep through it and the dog keeping me up all night","Entirely","Entirely","Entirely","B2;B3;H4;H5","A drifting, wandering mindset- upbeat and flowing-- like a walk through a beautiful area on a relaxing weekend.","Entirely","Entirely","Entirely",NA,58,"Female","Moderately frequently",NA,"K","Upstairs",NA,"[56,61)"
8,"A moderate amount of the time","Not at all","Not at all","Most of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","Not at all","A small amount of the time","B3; H2","No long memory, but a lot of memories about highsehod things (1981-05)","Moderately","Entirely","Mostly",NA,"I had no fictional memories","Not at all","Not at all","Not at all",NA,57,"Male","Very rarely",NA,"K","Upstairs",NA,"[56,61)"
9,"A small amount of the time","Not at all","Not at all","A moderate amount of the time","A small amount of the time","A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","H6","Visiting grocery markets in Paris with my late grandmother. Some of the music made me think of vendors shouting out their wares.","Slightly","Moderately","Moderately","B2","Contemplation of sad things- the current state of the world, especialy war, death and grief","Moderately","Mostly","Slightly",NA,34,"Female","Very frequently",15,"K","Upstairs",NA,"[31,36)"
11,"A small amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","H1","Thought about an old high-school friend. Recalled how he went to trade school & began contemplating his continued existence in the same hometown he grew up in. Had a blue-collared attitude -- him & the friends he used to hang out with. Appreciated his friendship, but never felt too close to him. It's an obtuse thought.","Mostly","Entirely","Mostly","B3","Thought up a story about a woman who makes the internal vow to write the longest poem she can. She's a mother with one young daughter, and I envisioned them in a living room setting. She's trying to write lines, while her daughter draws next to her.","Moderately","Mostly","Mostly",NA,25,"Male","Very frequently",8,"K","Upstairs",NA,"[21,26)"
12,"Most of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A small amount of the time","All of the time","Not at all","Not at all","Not at all","H2; H3; H4","Honestly, was imagining the section of ""A gentleman in Moscow"" ""Cabarat"" Secrat grande section","Entirely","Entirely","Mostly","B2","Personal conversation","Entirely","Entirely","Mostly",NA,71,"Female","Very frequently",NA,"J","Upstairs",NA,"[71,76)"
14,"All of the time","Most of the time","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","Not at all","Not at all","Not at all","B1","The Beethoven seemed to begin as a frolic on a beautiful summer's day. Dancing, conversing, enjoying the overtures, eated on the glrass in a partk. Noice surrounds with the awrmth of the sun, twittering insects, butterflies, and swaying of trees. Couples begin to pair off as theiy paster lovingly more intimate conversations as the day pose slowly to noon and eventually to sunset and evening","Mostly","Entirely","Entirely","H3","The story enters the lobby of a hotel where a set of actions take place. People checking in and out, discussions arise in the lobby some pleasant other full of disturbance and anxiety. The hotel is forcefully ending with crying. Staff and guests. There is continued action and nothing is resolved, there is never a ___, pure chaos.","Entirely","Entirely","Entirely",NA,63,"Male","Very frequently",NA,"H","Upstairs",NA,"[61,66)"
15,"Most of the time","A moderate amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","B1","I remember performing with a trio and the interaction of my fellow performers.","Mostly","Moderately","Mostly","H4","The composer's discussion prior to the performance started me thinkin gabout marionettes etc, and the more lurid aspects of paris int he 20s.","Mostly","Mostly","Mostly",NA,75,"Female","Very frequently",NA,"I","Upstairs",NA,"[71,76)"
